epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,7875.09,0.30746,0.23541,0.89695,0.99761,0.99832,0.99347,0.96977,0.21956,0.14846,0.79267,0.0059905,0.0059905,0.0059905
83,7971.65,0.31215,0.23495,0.89664,0.9977,0.99832,0.99401,0.9724,0.21918,0.14007,0.79136,0.005941,0.005941,0.005941
84,8068.57,0.30685,0.22595,0.89551,0.99775,0.99832,0.99378,0.97364,0.2163,0.13953,0.7926,0.0058915,0.0058915,0.0058915
85,8164.99,0.30849,0.22966,0.89572,0.99742,0.99832,0.99364,0.97368,0.2186,0.14372,0.79114,0.005842,0.005842,0.005842
86,8262.27,0.31048,0.23229,0.89903,0.99781,0.99832,0.99371,0.97021,0.21526,0.14402,0.79029,0.0057925,0.0057925,0.0057925
87,8358.42,0.30066,0.23402,0.89242,0.9977,0.99832,0.99388,0.97245,0.21206,0.14552,0.78632,0.005743,0.005743,0.005743
88,8455.42,0.31017,0.2297,0.8965,0.99774,0.99832,0.99388,0.97293,0.21472,0.14277,0.78837,0.0056935,0.0056935,0.0056935
89,8551.86,0.29766,0.22714,0.89174,0.99774,0.99832,0.99426,0.97227,0.2134,0.14392,0.79021,0.005644,0.005644,0.005644
90,8648.72,0.30166,0.22524,0.89148,0.99772,0.99832,0.99386,0.97469,0.21229,0.14245,0.78815,0.0055945,0.0055945,0.0055945
91,8745.09,0.30306,0.22182,0.89338,0.99768,0.99832,0.99374,0.97549,0.21156,0.13539,0.78734,0.005545,0.005545,0.005545
92,8841.87,0.29864,0.2223,0.89547,0.99773,0.99832,0.99347,0.97205,0.21451,0.13808,0.78981,0.0054955,0.0054955,0.0054955
93,8938.83,0.30542,0.22977,0.8963,0.99743,0.99832,0.99403,0.9705,0.21523,0.14178,0.78994,0.005446,0.005446,0.005446
94,9035.31,0.2962,0.22134,0.894,0.99771,0.99832,0.99341,0.97214,0.21124,0.13866,0.78821,0.0053965,0.0053965,0.0053965
95,9132.71,0.29766,0.21727,0.89618,0.99774,0.99832,0.99347,0.97394,0.20948,0.13554,0.79075,0.005347,0.005347,0.005347
96,9229.05,0.29303,0.219,0.88947,0.99768,0.99832,0.99361,0.97377,0.20763,0.13227,0.7863,0.0052975,0.0052975,0.0052975
97,9325.98,0.29919,0.2212,0.89514,0.99774,0.99832,0.99381,0.97518,0.20794,0.13379,0.78599,0.005248,0.005248,0.005248
98,9422.63,0.29196,0.21851,0.88893,0.99768,0.99832,0.99406,0.97502,0.21044,0.13246,0.78348,0.0051985,0.0051985,0.0051985
